table with row headers in column B and column headers in rows 3 through 4,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019",,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
187,"Surprise city, Arizona","117,517","117,473","117,643","119,617","122,266","125,035","127,880","130,336","132,846","134,781","137,717","141,664"
188,"Denton city, Texas","113,383","116,326","117,010","120,101","123,573","125,030","128,217","131,154","134,261","135,629","138,315","141,541"
189,"Roseville city, California","118,788","119,277","119,916","122,725","124,432","126,769","128,397","130,018","132,708","135,077","138,953","141,500"
190,"Thornton city, Colorado","118,772","118,787","119,391","121,911","124,361","127,022","129,479","132,176","134,574","136,777","139,352","141,464"
191,"Miramar city, Florida","122,041","121,958","122,300","125,059","128,697","130,120","134,494","136,476","138,964","140,215","140,564","141,191"
192,"Pasadena city, California","137,122","137,114","137,111","137,652","138,097","139,292","139,529","141,025","141,601","141,757","140,906","141,029"
193,"Mesquite city, Texas","139,824","139,701","139,963","141,520","143,365","143,604","144,508","144,988","144,681","144,218","142,520","140,937"
194,"Olathe city, Kansas","125,872","125,922","126,269","128,325","129,963","131,798","132,839","134,298","135,928","137,526","139,758","140,545"
195,"Dayton city, Ohio","141,527","141,989","142,348","142,000","141,916","142,035","141,117","140,819","140,849","140,372","140,439","140,407"
196,"Carrollton city, Texas","119,097","119,211","119,564","122,527","125,484","126,545","128,349","133,060","133,704","136,054","137,013","139,248"
197,"Waco city, Texas","124,805","124,797","125,377","126,443","127,494","129,011","129,860","131,801","133,421","136,939","137,886","139,236"
198,"Orange city, California","136,416","136,776","137,103","138,539","139,372","139,972","139,424","140,503","140,581","140,251","139,449","138,669"
199,"Fullerton city, California","135,161","135,233","135,291","136,386","138,103","138,637","138,840","139,982","140,454","139,744","139,273","138,632"
200,"Charleston city, South Carolina","120,083","120,364","120,700","123,012","125,223","127,246","129,434","132,413","134,453","135,626","136,111","137,566"
201,"West Valley City city, Utah","129,480","129,489","129,653","131,031","132,463","133,744","134,431","135,903","136,741","136,334","135,982","135,248"
